"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-3.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cdn --output /root/tf/dstat.csv",,,,"Date:","16 Oct 2018 19:43:29 CDT"

"system","swap",,"total cpu usage",,,,,,"dsk/total",,"net/total",
"time","used","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
16-10 19:43:29,0.0,3221221376.0,0.021,0.007,99.972,0.000,0.0,0.000,446.777,35399.668,0.0,0.0
16-10 19:43:30,0.0,3221221376.0,3.023,3.248,93.728,0.0,0.0,0.0,0.0,0.0,7206.0,334.0
16-10 19:43:31,0.0,3221221376.0,1.701,1.001,97.299,0.0,0.0,0.0,0.0,0.0,7668.0,4498.0
16-10 19:43:32,0.0,3221221376.0,5.514,4.570,89.916,0.0,0.0,0.0,0.0,0.0,559006.0,336681.0
16-10 19:43:33,0.0,3221221376.0,5.981,3.218,90.801,0.0,0.0,0.0,0.0,0.0,649960.0,325998.0
16-10 19:43:34,0.0,3221221376.0,6.615,6.840,86.545,0.0,0.0,0.0,0.0,229376.0,684381.0,359521.0
16-10 19:43:35,0.0,3221221376.0,6.408,6.658,86.934,0.0,0.0,0.0,0.0,0.0,651485.0,358160.0
16-10 19:43:36,0.0,3221221376.0,6.580,6.605,86.815,0.0,0.0,0.0,0.0,0.0,650332.0,325536.0
16-10 19:43:37,0.0,3221221376.0,5.506,6.750,87.744,0.0,0.0,0.0,0.0,0.0,719392.0,360515.0
16-10 19:43:38,0.0,3221221376.0,6.267,4.984,88.749,0.0,0.0,0.0,0.0,0.0,651005.0,358709.0
16-10 19:43:39,0.0,3221221376.0,5.869,4.916,89.215,0.0,0.0,0.0,0.0,208896.0,684591.0,360284.0
16-10 19:43:40,0.0,3221221376.0,6.663,3.747,89.590,0.0,0.0,0.0,0.0,0.0,684769.0,359520.0
16-10 19:43:41,0.0,3221221376.0,7.039,4.219,88.742,0.0,0.0,0.0,0.0,0.0,718201.0,360700.0
16-10 19:43:42,0.0,3221221376.0,2.040,1.612,96.348,0.0,0.0,0.0,0.0,0.0,247609.0,146362.0
16-10 19:43:43,0.0,3221221376.0,0.025,0.025,99.950,0.0,0.0,0.0,0.0,0.0,9078.0,248.0
