"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cdn --output /root/tf/dstat.csv",,,,"Date:","16 Oct 2018 19:51:01 CDT"

"system","swap",,"total cpu usage",,,,,,"dsk/total",,"net/total",
"time","used","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
16-10 19:51:01,0.0,3221221376.0,0.173,0.043,99.783,0.000,0.0,0.000,496.128,46687.069,0.0,0.0
16-10 19:51:02,0.0,3221221376.0,3.098,3.873,93.028,0.0,0.0,0.0,0.0,0.0,9382.0,110.0
16-10 19:51:03,0.0,3221221376.0,1.850,0.900,97.251,0.0,0.0,0.0,0.0,0.0,9660.0,0.0
16-10 19:51:04,0.0,3221221376.0,4.377,4.874,90.749,0.0,0.0,0.0,0.0,180224.0,9300.0,0.0
16-10 19:51:05,0.0,3221221376.0,6.501,6.627,86.872,0.0,0.0,0.0,0.0,0.0,8520.0,0.0
16-10 19:51:06,0.0,3221221376.0,6.263,4.058,89.679,0.0,0.0,0.0,0.0,0.0,9120.0,0.0
16-10 19:51:07,0.0,3221221376.0,5.882,4.931,89.186,0.0,0.0,0.0,0.0,0.0,8820.0,54.0
16-10 19:51:08,0.0,3221221376.0,6.322,6.447,87.231,0.0,0.0,0.0,0.0,0.0,8520.0,0.0
16-10 19:51:09,0.0,3221221376.0,5.553,6.878,87.569,0.0,0.0,0.0,0.0,118784.0,8100.0,0.0
16-10 19:51:10,0.0,3221221376.0,5.955,5.704,88.342,0.0,0.0,0.0,0.0,0.0,8520.0,0.0
16-10 19:51:11,0.0,3221221376.0,6.316,4.051,89.633,0.0,0.0,0.0,0.0,0.0,9262.0,110.0
16-10 19:51:12,0.0,3221221376.0,6.239,3.708,90.053,0.0,0.0,0.0,0.0,0.0,9360.0,0.0
16-10 19:51:13,0.0,3221221376.0,5.039,4.560,90.401,0.0,0.0,0.0,0.0,0.0,9180.0,0.0
16-10 19:51:14,0.0,3221221376.0,6.491,6.164,87.346,0.0,0.0,0.0,0.0,102400.0,8220.0,0.0
16-10 19:51:15,0.0,3221221376.0,6.020,6.770,87.210,0.0,0.0,0.0,0.0,0.0,9540.0,0.0
16-10 19:51:16,0.0,3221221376.0,6.761,4.077,89.162,0.0,0.0,0.0,0.0,0.0,8820.0,0.0
16-10 19:51:17,0.0,3221221376.0,6.728,5.983,87.289,0.0,0.0,0.0,0.0,0.0,9600.0,0.0
16-10 19:51:18,0.0,3221221376.0,6.503,4.927,88.569,0.0,0.0,0.0,0.0,0.0,9180.0,0.0
16-10 19:51:19,0.0,3221221376.0,6.080,6.809,87.111,0.0,0.0,0.0,0.0,122880.0,9360.0,0.0
16-10 19:51:20,0.0,3221221376.0,5.078,5.028,89.894,0.0,0.0,0.0,0.0,0.0,8520.0,0.0
16-10 19:51:21,0.0,3221221376.0,5.959,5.129,88.911,0.0,0.0,0.0,0.0,0.0,8520.0,54.0
16-10 19:51:22,0.0,3221221376.0,6.300,5.752,87.948,0.0,0.0,0.0,0.0,0.0,8340.0,0.0
16-10 19:51:23,0.0,3221221376.0,6.102,6.077,87.822,0.0,0.0,0.0,0.0,0.0,8460.0,0.0
16-10 19:51:24,0.0,3221221376.0,6.155,4.934,88.064,0.847,0.0,0.0,0.0,106496.0,7560.0,0.0
16-10 19:51:25,0.0,3221221376.0,6.096,6.448,87.456,0.0,0.0,0.0,0.0,0.0,7920.0,0.0
16-10 19:51:26,0.0,3221221376.0,6.328,4.377,89.295,0.0,0.0,0.0,0.0,0.0,8520.0,0.0
16-10 19:51:27,0.0,3221221376.0,5.694,4.088,90.218,0.0,0.0,0.0,0.0,0.0,8640.0,0.0
16-10 19:51:28,0.0,3221221376.0,6.237,4.217,89.545,0.0,0.0,0.0,0.0,0.0,11436.0,1728.0
16-10 19:51:29,0.0,3221221376.0,5.949,4.966,89.085,0.0,0.0,0.0,0.0,0.0,9360.0,0.0
16-10 19:51:30,0.0,3221221376.0,5.413,5.089,89.474,0.0,0.0,0.025,0.0,126976.0,10080.0,0.0
