"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-2.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cdn --output /root/tf/dstat.csv",,,,"Date:","16 Oct 2018 20:22:37 CDT"

"system","swap",,"total cpu usage",,,,,,"dsk/total",,"net/total",
"time","used","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
16-10 20:22:37,0.0,3221221376.0,0.021,0.008,99.971,0.000,0.0,0.000,444.625,35162.258,0.0,0.0
16-10 20:22:38,0.0,3221221376.0,3.325,3.900,92.775,0.0,0.0,0.0,0.0,0.0,7746.0,732.0
16-10 20:22:39,0.0,3221221376.0,1.676,0.976,97.348,0.0,0.0,0.0,0.0,0.0,8040.0,4610.0
16-10 20:22:40,0.0,3221221376.0,0.175,0.025,99.800,0.0,0.0,0.0,0.0,0.0,15339.0,12697.0
16-10 20:22:41,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,77824.0,7206.0,182.0
16-10 20:22:42,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7146.0,182.0
16-10 20:22:43,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7626.0,182.0
16-10 20:22:44,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7746.0,182.0
16-10 20:22:45,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7806.0,182.0
16-10 20:22:46,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,8286.0,182.0
16-10 20:22:47,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,12288.0,8766.0,182.0
16-10 20:22:48,0.0,3221221376.0,0.0,0.050,99.950,0.0,0.0,0.0,0.0,0.0,8526.0,182.0
16-10 20:22:49,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,9066.0,182.0
16-10 20:22:50,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,69632.0,8406.0,182.0
16-10 20:22:51,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,8466.0,182.0
16-10 20:22:52,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7986.0,182.0
16-10 20:22:53,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,12288.0,7686.0,182.0
16-10 20:22:54,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7506.0,182.0
16-10 20:22:55,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7146.0,182.0
16-10 20:22:56,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7086.0,182.0
16-10 20:22:57,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,6186.0,182.0
16-10 20:22:58,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,6846.0,182.0
16-10 20:22:59,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,12288.0,6666.0,182.0
16-10 20:23:00,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,6546.0,182.0
16-10 20:23:01,0.0,3221221376.0,0.025,0.0,99.975,0.0,0.0,0.0,0.0,0.0,6906.0,182.0
16-10 20:23:02,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,6606.0,182.0
16-10 20:23:03,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6306.0,182.0
16-10 20:23:04,0.0,3221221376.0,0.025,0.025,99.950,0.0,0.0,0.0,0.0,0.0,6006.0,182.0
16-10 20:23:05,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,7146.0,182.0
16-10 20:23:06,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7266.0,182.0
16-10 20:23:07,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7386.0,182.0
16-10 20:23:08,0.0,3221221376.0,0.025,0.025,99.950,0.0,0.0,0.0,0.0,0.0,7746.0,182.0
16-10 20:23:09,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7446.0,182.0
16-10 20:23:10,0.0,3221221376.0,1.996,0.873,97.131,0.0,0.0,0.0,0.0,12288.0,157108.0,116592.0
16-10 20:23:11,0.0,3221221376.0,0.150,0.125,99.725,0.0,0.0,0.0,0.0,208896.0,10987.0,4617.0
