"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cnm --output /root/tf/dstat.csv",,,,"Date:","17 Oct 2018 20:36:05 CDT"

"system","swap",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","used","free","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
17-10 20:36:05,0.0,3221221376.0,0.215,0.051,99.734,0.000,0.0,0.001,0.0,0.0,1136173056.0,176795648.0,1252356096.0,1.9870498816e+11
17-10 20:36:06,0.0,3221221376.0,5.653,6.803,87.544,0.0,0.0,0.0,5948.0,590.0,1317814272.0,176795648.0,1252450304.0,1.98523252736e+11
17-10 20:36:07,0.0,3221221376.0,3.353,1.951,94.696,0.0,0.0,0.0,19614.0,3206.0,1905106944.0,176795648.0,1252450304.0,1.97935960064e+11
17-10 20:36:08,0.0,3221221376.0,3.900,4.325,91.750,0.0,0.0,0.025,804703.0,1344236.0,2167275520.0,176803840.0,1252450304.0,1.97673783296e+11
17-10 20:36:09,0.0,3221221376.0,5.591,3.951,90.432,0.0,0.0,0.025,807074.0,1532689.0,2178891776.0,176803840.0,1252491264.0,1.9766212608e+11
17-10 20:36:10,0.0,3221221376.0,5.127,6.073,88.800,0.0,0.0,0.0,873958.0,1533440.0,2237382656.0,176803840.0,1252499456.0,1.97603627008e+11
17-10 20:36:11,0.0,3221221376.0,5.593,4.519,89.863,0.0,0.0,0.025,771060.0,1528937.0,2243940352.0,176803840.0,1252511744.0,1.97597057024e+11
17-10 20:36:12,0.0,3221221376.0,4.255,5.388,90.332,0.0,0.0,0.025,806371.0,1530557.0,2223382528.0,176803840.0,1252511744.0,1.97617614848e+11
17-10 20:36:13,0.0,3221221376.0,5.680,4.886,89.435,0.0,0.0,0.0,873161.0,1530211.0,2269777920.0,176807936.0,1252511744.0,1.9757121536e+11
17-10 20:36:14,0.0,3221221376.0,5.144,3.915,90.941,0.0,0.0,0.0,808871.0,1563815.0,2248077312.0,176807936.0,1252511744.0,1.97592915968e+11
17-10 20:36:15,0.0,3221221376.0,4.393,3.837,91.745,0.0,0.0,0.025,873465.0,1530002.0,2252238848.0,176807936.0,1252511744.0,1.97588754432e+11
17-10 20:36:16,0.0,3221221376.0,5.347,3.948,90.705,0.0,0.0,0.0,810101.0,1598049.0,2231672832.0,176807936.0,1252511744.0,1.97609320448e+11
17-10 20:36:17,0.0,3221221376.0,4.620,3.666,91.690,0.0,0.0,0.025,840232.0,1530630.0,2268254208.0,176807936.0,1252511744.0,1.97572739072e+11
17-10 20:36:18,0.0,3221221376.0,4.479,4.955,90.541,0.0,0.0,0.025,840144.0,1563914.0,2241302528.0,176812032.0,1252511744.0,1.97599686656e+11
17-10 20:36:19,0.0,3221221376.0,4.397,3.614,91.989,0.0,0.0,0.0,839468.0,1563187.0,2235158528.0,176812032.0,1252511744.0,1.97605830656e+11
17-10 20:36:20,0.0,3221221376.0,4.409,3.452,92.139,0.0,0.0,0.0,839328.0,1563536.0,2241101824.0,176812032.0,1252524032.0,1.97599875072e+11
17-10 20:36:21,0.0,3221221376.0,3.488,2.058,94.454,0.0,0.0,0.0,336621.0,614939.0,2242940928.0,176812032.0,1252532224.0,1.97598027776e+11
17-10 20:36:22,0.0,3221221376.0,0.626,0.325,99.049,0.0,0.0,0.0,6534.0,2022.0,1561182208.0,176812032.0,1252532224.0,1.98279786496e+11
