"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-1.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cnm --output /root/tf/dstat.csv",,,,"Date:","17 Oct 2018 21:43:18 CDT"

"system","swap",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","used","free","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
17-10 21:43:18,0.0,3221221376.0,0.122,0.024,99.854,0.000,0.0,0.000,0.0,0.0,1241706496.0,215023616.0,2380800000.0,1.97432782848e+11
17-10 21:43:19,0.0,3221221376.0,3.002,3.478,93.520,0.0,0.0,0.0,5226.0,366.0,1330176000.0,215023616.0,2380881920.0,1.97344231424e+11
17-10 21:43:20,0.0,3221221376.0,1.800,0.875,97.324,0.0,0.0,0.0,6174.0,4936.0,1619955712.0,215023616.0,2380881920.0,1.97054451712e+11
17-10 21:43:21,0.0,3221221376.0,0.350,0.100,99.550,0.0,0.0,0.0,13502.0,13083.0,1670488064.0,215023616.0,2380881920.0,1.9700391936e+11
17-10 21:43:22,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,4866.0,190.0,1669136384.0,215031808.0,2380873728.0,1.9700527104e+11
17-10 21:43:23,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,5286.0,190.0,1668489216.0,215031808.0,2380881920.0,1.97005910016e+11
17-10 21:43:24,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,4746.0,190.0,1668489216.0,215031808.0,2380881920.0,1.97005910016e+11
17-10 21:43:25,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,5166.0,190.0,1668489216.0,215031808.0,2380881920.0,1.97005910016e+11
17-10 21:43:26,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,5106.0,190.0,1668489216.0,215031808.0,2380881920.0,1.97005910016e+11
