"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-3.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cnm --output /root/tf/dstat.csv",,,,"Date:","17 Oct 2018 22:02:15 CDT"

"system","swap",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","used","free","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
17-10 22:02:15,0.0,3221221376.0,0.059,0.013,99.928,0.000,0.0,0.000,0.0,0.0,1071853568.0,163401728.0,966254592.0,1.99068786688e+11
17-10 22:02:16,0.0,3221221376.0,3.198,3.298,93.503,0.0,0.0,0.0,5826.0,366.0,1161990144.0,163401728.0,966344704.0,1.9897856e+11
17-10 22:02:17,0.0,3221221376.0,1.676,1.001,97.324,0.0,0.0,0.0,7866.0,5239.0,1489653760.0,163401728.0,966344704.0,1.98650896384e+11
17-10 22:02:18,0.0,3221221376.0,3.889,1.480,94.631,0.0,0.0,0.0,7687428.0,7532453.0,1614700544.0,163401728.0,966385664.0,1.9852580864e+11
17-10 22:02:19,0.0,3221221376.0,4.436,1.844,93.695,0.0,0.0,0.025,9529550.0,9330506.0,1698668544.0,163401728.0,966385664.0,1.9844184064e+11
17-10 22:02:20,0.0,3221221376.0,3.750,2.190,94.035,0.0,0.0,0.025,9117086.0,8920729.0,1722826752.0,163401728.0,966385664.0,1.98417682432e+11
17-10 22:02:21,0.0,3221221376.0,4.460,1.027,94.463,0.0,0.0,0.050,9526185.0,9297527.0,1716948992.0,163409920.0,966385664.0,1.98423552e+11
17-10 22:02:22,0.0,3221221376.0,3.735,0.908,95.357,0.0,0.0,0.0,9768973.0,9570314.0,1720098816.0,163409920.0,966389760.0,1.9842039808e+11
17-10 22:02:23,0.0,3221221376.0,4.247,0.980,94.722,0.0,0.0,0.050,8841291.0,8616196.0,1716424704.0,163409920.0,966389760.0,1.98424072192e+11
17-10 22:02:24,0.0,3221221376.0,4.161,1.329,94.460,0.0,0.0,0.050,8736934.0,8543767.0,1716633600.0,163409920.0,966389760.0,1.98423863296e+11
17-10 22:02:25,0.0,3221221376.0,4.770,0.924,94.306,0.0,0.0,0.0,9323115.0,9092975.0,1720049664.0,163409920.0,966389760.0,1.98420447232e+11
17-10 22:02:26,0.0,3221221376.0,4.526,0.900,94.524,0.0,0.0,0.050,9324647.0,9161163.0,1720225792.0,163409920.0,966389760.0,1.98420271104e+11
17-10 22:02:27,0.0,3221221376.0,4.006,2.142,93.827,0.0,0.0,0.025,9217958.0,9022252.0,1720758272.0,163418112.0,966389760.0,1.98419730432e+11
17-10 22:02:28,0.0,3221221376.0,4.281,1.978,93.716,0.0,0.0,0.025,8978013.0,8752363.0,1754509312.0,163418112.0,966389760.0,1.98385979392e+11
17-10 22:02:29,0.0,3221221376.0,4.644,2.385,92.947,0.0,0.0,0.025,9151549.0,8957505.0,1721077760.0,163418112.0,966389760.0,1.98419410944e+11
17-10 22:02:30,0.0,3221221376.0,4.376,2.126,93.473,0.0,0.0,0.025,9254724.0,9026168.0,1725333504.0,163418112.0,966389760.0,1.984151552e+11
17-10 22:02:31,0.0,3221221376.0,4.027,0.956,94.966,0.0,0.0,0.050,9567857.0,9397945.0,1725612032.0,163418112.0,966389760.0,1.98414876672e+11
17-10 22:02:32,0.0,3221221376.0,4.688,0.928,94.359,0.0,0.0,0.025,9014054.0,8784724.0,1725689856.0,163418112.0,966389760.0,1.98414798848e+11
17-10 22:02:33,0.0,3221221376.0,4.890,1.073,94.037,0.0,0.0,0.0,9639836.0,9435788.0,1727119360.0,163426304.0,966389760.0,1.98413361152e+11
17-10 22:02:34,0.0,3221221376.0,4.456,0.876,94.643,0.0,0.0,0.025,9496102.0,9298755.0,1729114112.0,163426304.0,966389760.0,1.984113664e+11
17-10 22:02:35,0.0,3221221376.0,4.645,1.099,94.206,0.0,0.0,0.050,8805314.0,8580810.0,1724678144.0,163426304.0,966393856.0,1.98415798272e+11
17-10 22:02:36,0.0,3221221376.0,4.675,0.775,94.550,0.0,0.0,0.0,9287693.0,9092782.0,1723375616.0,163426304.0,966393856.0,1.984171008e+11
17-10 22:02:37,0.0,3221221376.0,1.146,0.797,98.057,0.0,0.0,0.0,1245233.0,1205435.0,1063907328.0,163426304.0,966393856.0,1.99076569088e+11
