"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-1.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cnm --output /root/tf/dstat.csv",,,,"Date:","17 Oct 2018 22:29:14 CDT"

"system","swap",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","used","free","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
17-10 22:29:14,0.0,3221221376.0,0.122,0.024,99.854,0.000,0.0,0.000,0.0,0.0,1240485888.0,215404544.0,2381086720.0,1.97433335808e+11
17-10 22:29:15,0.0,3221221376.0,2.173,3.123,94.704,0.0,0.0,0.0,4938.0,1622.0,1327468544.0,215404544.0,2381168640.0,1.97346271232e+11
17-10 22:29:16,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,4686.0,190.0,1326837760.0,215404544.0,2381168640.0,1.97346902016e+11
17-10 22:29:17,0.0,3221221376.0,0.0,0.050,99.950,0.0,0.0,0.0,5466.0,190.0,1326583808.0,215404544.0,2381168640.0,1.97347155968e+11
17-10 22:29:18,0.0,3221221376.0,0.025,0.0,99.975,0.0,0.0,0.0,7549.0,1111.0,1325568000.0,215412736.0,2381160448.0,1.97348171776e+11
17-10 22:29:19,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,7626.0,244.0,1325703168.0,215412736.0,2381168640.0,1.97348028416e+11
17-10 22:29:20,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,7986.0,190.0,1325191168.0,215412736.0,2381168640.0,1.97348540416e+11
17-10 22:29:21,0.0,3221221376.0,0.025,0.0,99.975,0.0,0.0,0.0,8646.0,190.0,1325191168.0,215412736.0,2381168640.0,1.97348540416e+11
17-10 22:29:22,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,7506.0,190.0,1325191168.0,215412736.0,2381168640.0,1.97348540416e+11
17-10 22:29:23,0.0,3221221376.0,0.225,0.375,99.400,0.0,0.0,0.0,51472073.0,81644.0,1392095232.0,215412736.0,2381168640.0,1.97281636352e+11
17-10 22:29:24,0.0,3221221376.0,0.452,0.828,98.570,0.0,0.0,0.151,217702268.0,305563.0,1624989696.0,215420928.0,2381168640.0,1.97048733696e+11
17-10 22:29:25,0.0,3221221376.0,47.074,6.710,46.115,0.0,0.0,0.101,91735828.0,140664.0,2459676672.0,215420928.0,2381168640.0,1.9621404672e+11
17-10 22:29:26,0.0,3221221376.0,52.687,6.233,41.004,0.025,0.0,0.050,205955.0,251434736.0,1953595392.0,215420928.0,2381168640.0,1.96720128e+11
17-10 22:29:27,0.0,3221221376.0,32.636,4.310,63.054,0.0,0.0,0.0,8619.0,4068383.0,1768857600.0,215420928.0,2381168640.0,1.96904865792e+11
17-10 22:29:28,0.0,3221221376.0,7.629,1.882,90.489,0.0,0.0,0.0,6689.0,97856.0,1505488896.0,215420928.0,2381168640.0,1.97168234496e+11
