"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cdn --output part1_task2_cluster2_async.csv",,,,"Date:","16 Oct 2018 13:57:49 CDT"

"system","swap",,"total cpu usage",,,,,,"dsk/total",,"net/total",
"time","used","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
16-10 13:57:49,0.0,3221221376.0,0.178,0.041,99.780,0.000,0.0,0.000,520.846,48859.845,0.0,0.0
16-10 13:57:50,0.0,3221221376.0,0.801,0.501,98.699,0.0,0.0,0.0,0.0,0.0,14922.0,11098.0
16-10 13:57:51,0.0,3221221376.0,0.275,0.050,99.675,0.0,0.0,0.0,0.0,0.0,25926.0,31830.0
16-10 13:57:52,0.0,3221221376.0,5.179,7.280,87.541,0.0,0.0,0.0,0.0,139264.0,22077.0,22171.0
16-10 13:57:53,0.0,3221221376.0,4.149,0.875,94.976,0.0,0.0,0.0,0.0,0.0,12186.0,660.0
16-10 13:57:54,0.0,3221221376.0,0.677,1.253,98.070,0.0,0.0,0.0,0.0,0.0,13512.0,3144.0
16-10 13:57:55,0.0,3221221376.0,1.251,2.102,96.246,0.0,0.0,0.400,0.0,0.0,433662840.0,327824.0
16-10 13:57:56,0.0,3221221376.0,4.040,4.918,90.565,0.0,0.0,0.477,0.0,0.0,431743686.0,256098.0
16-10 13:57:57,0.0,3221221376.0,3.080,5.535,91.109,0.0,0.0,0.275,0.0,143360.0,515472335.0,282063.0
16-10 13:57:58,0.0,3221221376.0,3.536,5.242,90.720,0.0,0.0,0.502,0.0,0.0,667749499.0,397238.0
16-10 13:57:59,0.0,3221221376.0,3.176,6.027,90.448,0.0,0.0,0.350,0.0,0.0,477202860.0,258519.0
16-10 13:58:00,0.0,3221221376.0,5.628,6.403,87.494,0.0,0.0,0.475,0.0,0.0,431713501.0,344452.0
16-10 13:58:01,0.0,3221221376.0,3.234,5.540,90.649,0.0,0.0,0.577,0.0,0.0,498128865.0,345151.0
16-10 13:58:02,0.0,3221221376.0,3.328,5.194,91.074,0.0,0.0,0.403,0.0,61440.0,435391886.0,293016.0
16-10 13:58:03,0.0,3221221376.0,2.590,6.311,90.395,0.0,0.0,0.704,0.0,0.0,587920542.0,422110.0
16-10 13:58:04,0.0,3221221376.0,3.273,5.521,90.632,0.0,0.0,0.575,0.0,0.0,595586172.0,435237.0
16-10 13:58:05,0.0,3221221376.0,2.735,4.867,91.922,0.0,0.0,0.477,0.0,0.0,475288485.0,360006.0
16-10 13:58:06,0.0,3221221376.0,5.429,6.162,87.929,0.0,0.0,0.480,0.0,0.0,431710883.0,331994.0
16-10 13:58:07,0.0,3221221376.0,3.175,3.981,92.240,0.0,0.0,0.605,0.0,24576.0,498127893.0,313785.0
16-10 13:58:08,0.0,3221221376.0,2.749,5.897,90.830,0.0,0.0,0.525,0.0,0.0,477699528.0,320000.0
16-10 13:58:09,0.0,3221221376.0,3.035,5.468,90.870,0.0,0.0,0.627,0.0,0.0,638986311.0,414184.0
16-10 13:58:10,0.0,3221221376.0,3.156,6.511,89.757,0.0,0.0,0.576,0.0,0.0,543732367.0,387843.0
16-10 13:58:11,0.0,3221221376.0,5.714,7.011,86.901,0.0,0.0,0.374,0.0,0.0,431711207.0,319201.0
16-10 13:58:12,0.0,3221221376.0,3.206,5.386,90.982,0.0,0.0,0.426,0.0,24576.0,498128925.0,341754.0
16-10 13:58:13,0.0,3221221376.0,3.969,4.572,91.007,0.0,0.0,0.452,0.0,0.0,431711924.0,310847.0
16-10 13:58:14,0.0,3221221376.0,2.912,4.970,91.692,0.0,0.0,0.427,0.0,0.0,512045974.0,316474.0
16-10 13:58:15,0.0,3221221376.0,2.934,5.185,91.300,0.0,0.0,0.582,0.0,0.0,668967627.0,355002.0
16-10 13:58:16,0.0,3221221376.0,3.979,8.258,87.412,0.0,0.0,0.350,0.0,0.0,482746267.0,176199.0
