"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cdn --output part1_task2_cluster_async.csv",,,,"Date:","16 Oct 2018 13:56:04 CDT"

"system","swap",,"total cpu usage",,,,,,"dsk/total",,"net/total",
"time","used","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
16-10 13:56:04,0.0,3221221376.0,0.178,0.040,99.781,0.000,0.0,0.000,520.974,48868.477,0.0,0.0
16-10 13:56:05,0.0,3221221376.0,0.876,0.401,98.723,0.0,0.0,0.0,0.0,0.0,17619.0,19713.0
16-10 13:56:06,0.0,3221221376.0,0.275,0.050,99.675,0.0,0.0,0.0,0.0,49152.0,24429.0,23259.0
16-10 13:56:07,0.0,3221221376.0,5.508,7.111,87.381,0.0,0.0,0.0,0.0,0.0,12537.0,12483.0
16-10 13:56:08,0.0,3221221376.0,4.175,0.850,94.975,0.0,0.0,0.0,0.0,0.0,9368.0,330.0
16-10 13:56:09,0.0,3221221376.0,1.786,3.848,94.215,0.0,0.0,0.151,0.0,0.0,215870809.0,36906.0
16-10 13:56:10,0.0,3221221376.0,4.073,5.818,89.881,0.0,0.0,0.228,0.0,98304.0,216117205.0,34473.0
16-10 13:56:11,0.0,3221221376.0,4.324,6.611,88.713,0.0,0.0,0.352,0.0,0.0,390292023.0,42494.0
16-10 13:56:12,0.0,3221221376.0,3.282,6.688,89.704,0.0,0.0,0.326,0.0,131072.0,224072347.0,67449.0
16-10 13:56:13,0.0,3221221376.0,6.627,6.175,86.898,0.0,0.0,0.301,0.0,0.0,247002933.0,31217.0
16-10 13:56:14,0.0,3221221376.0,4.775,6.861,88.163,0.0,0.0,0.201,0.0,0.0,297412164.0,39299.0
16-10 13:56:15,0.0,3221221376.0,4.674,7.698,87.428,0.0,0.0,0.200,0.0,69632.0,319018645.0,52288.0
16-10 13:56:16,0.0,3221221376.0,5.048,7.168,87.658,0.0,0.0,0.126,0.0,0.0,249069360.0,26201.0
16-10 13:56:17,0.0,3221221376.0,4.436,7.744,87.544,0.0,0.0,0.276,0.0,45056.0,398501941.0,35566.0
16-10 13:56:18,0.0,3221221376.0,4.955,9.484,85.360,0.0,0.0,0.200,0.0,0.0,249069132.0,29485.0
16-10 13:56:19,0.0,3221221376.0,4.774,7.688,87.211,0.0,0.0,0.327,0.0,73728.0,319363707.0,28933.0
16-10 13:56:20,0.0,3221221376.0,4.762,7.130,87.881,0.0,0.0,0.227,0.0,0.0,294999533.0,32448.0
16-10 13:56:21,0.0,3221221376.0,5.544,6.668,87.537,0.0,0.0,0.250,0.0,0.0,267422095.0,44569.0
16-10 13:56:22,0.0,3221221376.0,4.293,6.101,89.204,0.0,0.0,0.402,0.0,36864.0,380151341.0,35628.0
16-10 13:56:23,0.0,3221221376.0,5.769,6.295,87.685,0.0,0.0,0.251,0.0,0.0,249070328.0,39813.0
