"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cdn --output /root/tf/dstat.csv",,,,"Date:","16 Oct 2018 21:55:37 CDT"

"system","swap",,"total cpu usage",,,,,,"dsk/total",,"net/total",
"time","used","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
16-10 21:55:37,0.0,3221221376.0,0.232,0.054,99.713,0.000,0.0,0.001,487.956,52680.231,0.0,0.0
16-10 21:55:38,0.0,3221221376.0,4.403,5.279,90.318,0.0,0.0,0.0,0.0,0.0,8392.0,3366.0
16-10 21:55:39,0.0,3221221376.0,3.054,5.582,91.364,0.0,0.0,0.0,0.0,0.0,7070.0,302.0
16-10 21:55:40,0.0,3221221376.0,2.177,0.350,97.473,0.0,0.0,0.0,0.0,249856.0,7700.0,1472.0
16-10 21:55:41,0.0,3221221376.0,2.475,0.050,97.475,0.0,0.0,0.0,0.0,0.0,7382.0,66.0
16-10 21:55:42,0.0,3221221376.0,1.651,2.627,95.722,0.0,0.0,0.0,0.0,0.0,7037.0,1352.0
16-10 21:55:43,0.0,3221221376.0,0.850,1.651,97.499,0.0,0.0,0.0,0.0,0.0,6902.0,66.0
16-10 21:55:44,0.0,3221221376.0,8.875,2.0,89.100,0.0,0.0,0.025,0.0,0.0,7136.0,688.0
16-10 21:55:45,0.0,3221221376.0,2.451,0.050,97.474,0.025,0.0,0.0,0.0,1462272.0,7497.0,73974.0
16-10 21:55:46,0.0,3221221376.0,20.240,4.760,74.900,0.0,0.0,0.100,0.0,0.0,50953.0,360811413.0
16-10 21:55:47,0.0,3221221376.0,70.618,10.707,18.526,0.0,0.0,0.149,0.0,0.0,144124937.0,40581.0
16-10 21:55:48,0.0,3221221376.0,48.131,8.633,43.138,0.0,0.0,0.098,0.0,0.0,110097973.0,17368.0
16-10 21:55:49,0.0,3221221376.0,24.950,2.528,72.523,0.0,0.0,0.0,0.0,0.0,1390033.0,2048.0
16-10 21:55:50,0.0,3221221376.0,10.956,3.868,85.126,0.0,0.0,0.050,0.0,0.0,35733.0,255556959.0
16-10 21:55:51,0.0,3221221376.0,46.884,5.050,46.935,0.930,0.0,0.201,0.0,245334016.0,21807.0,105251899.0
16-10 21:55:52,0.0,3221221376.0,56.498,10.236,32.990,0.0,0.0,0.276,0.0,0.0,251434424.0,27385.0
16-10 21:55:53,0.0,3221221376.0,38.731,2.222,59.022,0.0,0.0,0.025,0.0,0.0,4076563.0,6432.0
16-10 21:55:54,0.0,3221221376.0,21.967,5.347,72.585,0.0,0.0,0.101,0.0,0.0,143643.0,255558440.0
16-10 21:55:55,0.0,3221221376.0,57.567,10.005,32.403,0.0,0.0,0.025,0.0,0.0,23049.0,105251899.0
16-10 21:55:56,0.0,3221221376.0,53.666,9.574,36.508,0.0,0.0,0.252,0.0,212992.0,247732682.0,49470.0
